"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 01- 22","9,760","9,685","9,785","9,685","57.67K","0.36%"
"2020- 01- 21","9,725","9,855","9,860","9,710","61.05K","-1.47%"
"2020- 01- 20","9,870","9,810","9,890","9,805","19.43K","0.20%"
"2020- 01- 17","9,850","9,835","9,900","9,835","28.41K","0.36%"
"2020- 01- 16","9,815","9,830","9,895","9,815","24.23K","-0.81%"
"2020- 01- 15","9,895","9,835","9,905","9,800","20.38K","-0.15%"
"2020- 01- 14","9,910","9,960","10,005","9,910","80.60K","-0.10%"
"2020- 01- 13","9,920","9,870","9,955","9,860","46.31K","0.97%"
"2020- 01- 10","9,825","9,855","9,855","9,780","25.32K","-0.46%"
"2020- 01- 09","9,870","9,790","9,880","9,750","148.42K","2.17%"
"2020- 01- 08","9,660","9,675","9,685","9,535","51.11K","-0.92%"
"2020- 01- 07","9,750","9,715","9,785","9,715","120.70K","0.98%"
"2020- 01- 06","9,655","9,710","9,740","9,645","40.52K","-0.87%"
"2020- 01- 03","9,740","9,875","9,920","9,730","45.69K","-1.57%"
"2020- 01- 02","9,895","9,960","9,965","9,880","137.13K","-0.20%"
