holdout_key,key,case,model,lookback,shift,best_hp_json,best_cv_RMSE,best_cv_MAE,best_cv_MAPE,best_cv_MSPE,best_cv_MedAE,best_cv_MedAPE,holdout_RMSE,holdout_MSPE,holdout_MAE,holdout_MAPE,holdout_MedAE,holdout_MedAPE
Macro + Sentiment (Indirect)||SARIMA||lb=90||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||SARIMA||lb=90||shift=1,Macro + Sentiment (Indirect),SARIMA,90,1,"{""order_p"": 1, ""order_d"": 1, ""order_q"": 2, ""seasonal_P"": 1, ""seasonal_D"": 0, ""seasonal_Q"": 1, ""seasonal_s"": 5}",43.21104524628481,37.035736559850754,2.813162423617108,0.1271211563330969,36.3851830911413,2.8276740276143646,72.68904165806812,0.2713119854077678,63.95299829768752,4.631324594298005,66.75817789429061,4.887378948352665
Macro + Sentiment (Indirect)||RandomForest||lb=5||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=5||shift=1,Macro + Sentiment (Indirect),RandomForest,5,1,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2""}",8.98432682644737,7.299051292741657,0.5563744183662032,0.0047929930708718,6.252270208994162,0.4743972803218595,7.502674334265595,0.0030125326434747,5.817471797813479,0.425702245074486,4.975242348693655,0.3696645591422965
Macro + Sentiment (Indirect)||XGBoost||lb=5||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=5||shift=1,Macro + Sentiment (Indirect),XGBoost,5,1,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""min_child_weight"": 5}",9.203012920041257,7.492815204762537,0.5712185531546368,0.0050163835885953,6.471527099609375,0.4980125064056801,7.368645123787073,0.0029146759916666,5.653586119284362,0.4140643894872772,4.76025390625,0.3514970383281493
Macro + Sentiment (Indirect)||RandomForest||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=10||shift=1,Macro + Sentiment (Indirect),RandomForest,10,1,"{""n_estimators"": 500, ""max_depth"": 15, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""log2""}",8.862702052854004,7.194317582758485,0.5482434891907273,0.0046680387458238,6.147732010817464,0.4664675626979574,7.329656480578183,0.0028718063260176,5.699721202584178,0.4168795762746437,4.703705414649221,0.3427250341436293
Macro + Sentiment (Indirect)||XGBoost||lb=10||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=10||shift=1,Macro + Sentiment (Indirect),XGBoost,10,1,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""min_child_weight"": 3}",9.115737848988417,7.402640502377333,0.5636529414647498,0.0049034512742784,6.351776123046875,0.4840876868094683,7.528576776824033,0.003018176893506,5.885533695727323,0.4300582688273238,5.1083984375,0.3776253974460624
Macro + Sentiment (Indirect)||RandomForest||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=20||shift=1,Macro + Sentiment (Indirect),RandomForest,20,1,"{""n_estimators"": 200, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",8.95771541685517,7.342417278235677,0.5598389149769302,0.0047834080144877,6.563496061000819,0.5044236618387123,7.412864074185445,0.0029169980353156,5.875802940162451,0.4288275951684793,5.04395149654647,0.3713053403930169
Macro + Sentiment (Indirect)||XGBoost||lb=20||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=20||shift=1,Macro + Sentiment (Indirect),XGBoost,20,1,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""min_child_weight"": 3}",8.761968824264969,7.116624485806126,0.5428827819731472,0.0046103214047666,6.1295166015625,0.4672012189944104,6.98724907350557,0.0026108025108049,5.417103520146123,0.396141229737158,4.5367431640625,0.3342074121742711
Macro + Sentiment (Indirect)||RandomForest||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=30||shift=1,Macro + Sentiment (Indirect),RandomForest,30,1,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",9.18392415011494,7.429492067262406,0.5669792805620444,0.0050460095512542,6.6225707730661725,0.4997215246288424,7.903954656552933,0.0032939945581414,6.300574722600867,0.4586387813151141,5.476810041750923,0.4074284163666154
Macro + Sentiment (Indirect)||XGBoost||lb=30||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=30||shift=1,Macro + Sentiment (Indirect),XGBoost,30,1,"{""n_estimators"": 200, ""max_depth"": 5, ""learning_rate"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""min_child_weight"": 7}",9.16255648385954,7.44062358577077,0.568569594774496,0.0050296775603315,6.402313232421875,0.495867466611177,7.135314708702779,0.0027203976994146,5.48271993988926,0.4005427353870708,4.4896240234375,0.3267580069106741
Macro + Sentiment (Indirect)||RandomForest||lb=60||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=60||shift=1,Macro + Sentiment (Indirect),RandomForest,60,1,"{""n_estimators"": 500, ""max_depth"": 10, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""log2""}",8.48156841169407,6.951112408123101,0.5373525717782772,0.0043630181817685,6.009283739501086,0.4623889066987554,7.5772244464353875,0.0030413568892661,5.920985813645867,0.4304302817560116,4.967196797068368,0.3616987286929184
Macro + Sentiment (Indirect)||XGBoost||lb=60||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=60||shift=1,Macro + Sentiment (Indirect),XGBoost,60,1,"{""n_estimators"": 300, ""max_depth"": 9, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""min_child_weight"": 1}",8.373362867437049,6.815343165135646,0.526881321950229,0.0042406739065481,5.734283447265625,0.4414843629382822,8.467855616829143,0.0037965961219906,6.631887262517756,0.4822864115915099,5.70611572265625,0.411880771506141
Macro + Sentiment (Indirect)||RandomForest||lb=90||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||RandomForest||lb=90||shift=1,Macro + Sentiment (Indirect),RandomForest,90,1,"{""n_estimators"": 100, ""max_depth"": 30, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""log2""}",6.867589502677448,5.44761164756644,0.4253535948018612,0.0029206414152314,5.165784581869237,0.4047496513621405,7.4396121403547,0.0029405293418436,5.732300063277684,0.4168096857668209,4.626056161305314,0.3355118126594192
Macro + Sentiment (Indirect)||XGBoost||lb=90||shift=1||HOLDOUT,Macro + Sentiment (Indirect)||XGBoost||lb=90||shift=1,Macro + Sentiment (Indirect),XGBoost,90,1,"{""n_estimators"": 200, ""max_depth"": 9, ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""min_child_weight"": 3}",6.765762490333618,5.397168708570075,0.4210418609657846,0.0028182124972736,4.554484049479167,0.3521718600931923,7.50510687677049,0.0029896175410093,5.603805751016695,0.4072628172754914,4.04736328125,0.2894368964821996
ALL||RandomWalk||lb=5||shift=1||HOLDOUT,ALL||RandomWalk||lb=5||shift=1,ALL,RandomWalk,5,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||RandomWalk||lb=10||shift=1||HOLDOUT,ALL||RandomWalk||lb=10||shift=1,ALL,RandomWalk,10,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||RandomWalk||lb=20||shift=1||HOLDOUT,ALL||RandomWalk||lb=20||shift=1,ALL,RandomWalk,20,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||RandomWalk||lb=30||shift=1||HOLDOUT,ALL||RandomWalk||lb=30||shift=1,ALL,RandomWalk,30,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||RandomWalk||lb=60||shift=1||HOLDOUT,ALL||RandomWalk||lb=60||shift=1,ALL,RandomWalk,60,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||RandomWalk||lb=90||shift=1||HOLDOUT,ALL||RandomWalk||lb=90||shift=1,ALL,RandomWalk,90,1,{},8.62115447308385,6.925206939895431,0.5284546256595358,0.0044398070057199,5.833770751953125,0.4420793350146779,7.11910748895433,0.0027351016860013,5.429282495530985,0.3983490183629481,4.44000244140625,0.3331910741396653
ALL||SARIMA||lb=5||shift=1||HOLDOUT,ALL||SARIMA||lb=5||shift=1,ALL,SARIMA,5,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",42.24905629731157,35.99008631361666,2.745038849031597,0.1301234096806833,36.58381487786454,2.72448200761424,78.85565746489343,0.3204047726473379,70.53035543259749,5.113509556751468,73.09735066359463,5.341605468240216
ALL||SARIMA||lb=10||shift=1||HOLDOUT,ALL||SARIMA||lb=10||shift=1,ALL,SARIMA,10,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",42.24905629731157,35.99008631361666,2.745038849031597,0.1301234096806833,36.58381487786454,2.72448200761424,78.85565746489343,0.3204047726473379,70.53035543259749,5.113509556751468,73.09735066359463,5.341605468240216
ALL||SARIMA||lb=20||shift=1||HOLDOUT,ALL||SARIMA||lb=20||shift=1,ALL,SARIMA,20,1,"{""order_p"": 1, ""order_d"": 0, ""order_q"": 1, ""seasonal_P"": 1, ""seasonal_D"": 1, ""seasonal_Q"": 0, ""seasonal_s"": 5}",42.24905629731157,35.99008631361666,2.745038849031597,0.1301234096806833,36.58381487786454,2.72448200761424,78.85565746489343,0.3204047726473379,70.53035543259749,5.113509556751468,73.09735066359463,5.341605468240216
